19,"d","Pennsylvania",19,44,836,309,3.89,3252
19,"d","South Carolina",16,48,768,15,3.17,2435
19,"d","",,,,,,
19,"d","South Dakota",255,47,11985,5154,1.91,22891
19,"d","Tennessee",7,46,322,84,4.11,1323
19,"d","Texas",132,56,7392,1035,2.12,15671
19,"d","Utah",26,41,1066,75,2.10,2239
19,"d","Vermont",7,48,336,94,3.76,1263
19,"d","Virginia",4,40,160,35,7.24,1158
19,"d","Washington",77,43,3311,563,2.15,7119
19,"d","West Virginia",6,37,222,38,4.33,961
19,"d","Wisconsin",51,45,2295,711,2.95,6770
19,"d","Wyoming",39,56,2184,175,1.91,4171
19,"d","",,,,,,
19,"d","Other States 5/ 6/",36,39,1399,314,6.02,8422
19,"d","",,,,,,
19,"d","United States 6/ 7/",2828,54.5,154008,29303,2.21,340358
19,"c",""
19,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
19,"f","2/ Stocks held by producers."
19,"f","3/ Average price per pound based on expanded sales."
19,"f","4/ Value of production is equal to production multiplied by average price per pound."
19,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
19,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
19,"f","7/ United States value of production will not equal summation of States."
20,"t","Honey: Released March 19, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
20,"t","Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2019"
20,"t","[Colonies which produced honey in more than one State were counted in each State]"
20,"h","","","","","","",""
20,"h","","Honey","Yield","","","Average","Value"
20,"h","State","producing","per","Production","Stocks","price per","of"
20,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
20,"h","","","","","","",""
20,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(dollars)","(1,000 dollars)"
20,"d","Alabama",7,42,294,44,3.20,941
20,"d","Arizona",23,46,1058,201,1.97,2084
20,"d","Arkansas",20,55,1100,176,1.53,1683
20,"d","California",335,48,16080,3216,1.56,25085
20,"d","Colorado",32,46,1472,500,2.14,3150
20,"d","Florida",205,45,9225,830,2.48,22878
20,"d","Georgia",102,33,3366,370,2.61,8785
20,"d","Hawaii",16,80,1280,51,1.28,1638
20,"d","Idaho",92,32,2944,677,1.67,4916
20,"d","Illinois",11,39,429,116,4.31,1849
20,"d","",,,,,,
20,"d","Indiana",9,55,495,198,3.95,1955
20,"d","Iowa",38,55,2090,1170,2.24,4682
20,"d","Kansas",7,79,553,171,2.95,1631
20,"d","Kentucky",6,41,246,44,4.50,1107
20,"d","Louisiana",54,72,3888,428,2.04,7932
20,"d","Maine",15,35,525,110,2.92,1533
20,"d","Michigan",94,50,4700,1363,2.36,11092
20,"d","Minnesota",118,59,6962,3063,1.63,11348
20,"d","Mississippi",22,80,1760,141,1.85,3256
20,"d","Missouri",10,43,430,73,3.32,1428
20,"d","",,,,,,
20,"d","Montana",173,86,14878,5802,1.48,22019
20,"d","Nebraska",39,52,2028,223,1.46,2961
20,"d","New Jersey",15,28,420,155,3.33,1399
20,"d","New York",59,58,3422,1027,4.49,15365
20,"d","North Carolina",14,42,588,118,4.06,2387
20,"d","North Dakota",520,65,33800,6422,1.40,47320
20,"d","Ohio",15,67,1005,442,3.42,3437
20,"d","Oregon",87,32,2784,1141,2.07,5763
20,"d","Pennsylvania",19,50,950,409,4.24,4028
20,"d","South Carolina",16,47,752,45,5.01,3768
20,"d","",,,,,,
20,"d","South Dakota",270,72,19440,7582,1.53,29743
20,"d","Tennessee",8,57,456,91,4.65,2120
20,"d","Texas",126,60,7560,1814,2.30,17388
20,"d","Utah",22,29,638,89,2.06,1314
20,"d","Vermont",6,48,288,84,4.34,1250
20,"d","Virginia",5,39,195,49,7.51,1464
20,"d","Washington",81,35,2835,1191,2.12,6010
20,"d","West Virginia",6,37,222,47,4.50,999
20,"d","Wisconsin",46,47,2162,692,2.99,6464
20,"d","Wyoming",39,56,2184,306,1.35,2948
20,"d","",,,,,,
20,"d","Other States 5/ 6/",30,47,1418,351,5.91,8380
20,"d","",,,,,,
20,"d","United States 6/ 7/",2812,55.8,156922,41022,1.97,309136
20,"c",""
20,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
20,"f","2/ Stocks held by producers."
20,"f","3/ Average price per pound based on expanded sales."
20,"f","4/ Value of production is equal to production multiplied by average price per pound."
20,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
20,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
20,"f","7/ United States value of production will not equal summation of States."
18,"t","Honey: Released March 19, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
18,"t","Honey Price by Color Class – United States: 2018 and 2019"
18,"h","","","","","","",""
18,"h","","Co-op and private","Co-op and private","Retail","Retail","All","All"
18,"h","Color class","","","","","",""
18,"h","","2018","2019","2018","2019","2018","2019"
18,"h","","","","","","",""
18,"u","","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)"
18,"d","Water white, extra white, white",1.98,1.61,3.63,3.99,2.01,1.67
18,"d","",,,,,,
18,"d","Extra light amber",2.01,1.63,3.44,3.55,2.12,1.85
18,"d","",,,,,,
18,"d","Light amber, amber, dark amber",2.10,1.93,4.89,5.63,2.51,2.54
18,"d","",,,,,,
18,"d","All other honey, area specialties",2.64,2.40,7.17,7.77,3.62,3.84
18,"d","",,,,,,
18,"d","All honey",2.03,1.70,4.38,4.85,2.21,1.97
18,"c",""
27,"t","Honey: Released March 19, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
27,"t","Income and Expenditures – United States: 2018 and 2019"
27,"t","[Represents income and expenditures on the total number of colonies, regardless of whether honey was harvested]"
27,"h","","",""
27,"h","Item","2018","2019"
27,"h","","",""
27,"u","","(1,000 dollars)","(1,000 dollars)"
27,"d","Income",,
27,"d","Pollination income",301854,309630
27,"d","Other income 1/",94644,77677
27,"d","",,
27,"d","Expenditures",,
27,"d","Varroa control and treatment",17788,16366
27,"d","Other colony issues 2/",4825,4535
27,"d","Feed 3/",65220,58010
27,"d","Foundation",9534,7887
27,"d","Hives/woodenware",13646,10230
27,"c",""
27,"f","1/ Includes sales of queens, queen cells, beeswax, propolis, etc."
27,"f","2/ Includes Nosema, tracheal mites, foulbrod, paralysis, Kashmir, coudy wing, etc."
27,"f","3/ Includes syrup, sugar water, honey, pollen paties, and other feeds."
28,"t","Honey: Released March 19, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
28,"t","Queen, Package, and Nuc Prices Paid – United States: 2018 and 2019"
28,"t","[Represents prices paid on the total number of colonies, regardless of whether honey was harvested]"
28,"h","","",""
28,"h","Item","2018","2019"
28,"h","","",""
28,"u","","(dollars)","(dollars)"
28,"d","Queen",18,18
28,"d","Package",87,85
28,"d","Nuc",108,100
28,"c",""
25,"t","Honey: Released March 19, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
25,"t","Apiary Workers – United States: 2018 and 2019"
25,"t","[Represents number of paid and unpaid workers that worked with colonies, regardless of whether honey was harvested]"
25,"h","","",""
25,"h","Item","2018","2019"
25,"h","","",""
25,"u","","(workers)","(workers)"
25,"d","Apiary workers",23000,25000
25,"c",""
4,"t","Honey: Released March 19, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
4,"t","Reliability of Honey Estimates"
4,"t","[Based on data for the past 10 years]"
4,"h","","","","","","","",""
4,"h","","Root mean","90 percent","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate"
4,"h","","square error","confidence","","","","",""
4,"h","","","level","","","","",""
4,"h","Item","","","","","","Years","Years"
4,"h","","","","","","","",""
4,"h","","","","Average","Smallest","Largest","Below latest","Above latest"
4,"h","","","","","","","",""
4,"u","","(percent)","(percent)","(1,000)","(1,000)","(1,000)","(number)","(number)"
4,"d","Honey producing colonies",1.2,2.2,15,-,85,3,1
4,"d","",,,,,,,
4,"d","Honey production",1.2,2.3,932,-,4796,3,1
4,"c",""
4,"f","-  Represents zero."
